id	name	name_ascii
148	Taizhou	Taizhou
149	Surabaya	Surabaya
150	Abidjan	Abidjan
151	Huaihua	Huaihua
152	Ji’an	Ji'an
153	Mianyang	Mianyang
154	Xiaoganzhan	Xiaoganzhan
155	Shaoxing	Shaoxing
156	Alexandria	Alexandria
157	Yuncheng	Yuncheng
158	Pingdingshan	Pingdingshan
159	Huizhou	Huizhou
160	Huai’an	Huai'an
161	Xinpu	Xinpu
162	Chenzhou	Chenzhou
163	Guilin	Guilin
164	Jiujiang	Jiujiang
165	Anqing	Anqing
166	Boston	Boston
167	Huanglongsi	Huanglongsi
168	Jiangmen	Jiangmen
169	Changzhou	Changzhou
170	Barcelona	Barcelona
171	Wuxi	Wuxi
172	Zibo	Zibo
173	Jiaxing	Jiaxing
174	Dalian	Dalian
175	Hengshui	Hengshui
176	Harbin	Harbin
177	Yangzhou	Yangzhou
178	Yibin	Yibin
179	Johannesburg	Johannesburg
180	Yiyang	Yiyang
181	Meizhou	Meizhou
182	Chifeng	Chifeng
183	Casablanca	Casablanca
184	Guiyang	Guiyang
185	Langfang	Langfang
186	Zhangjiakou	Zhangjiakou
187	İzmir	Izmir
188	Linfen	Linfen
189	Wenzhou	Wenzhou
190	Monterrey	Monterrey
191	Luzhou	Luzhou
192	Jiangguanchi	Jiangguanchi
193	Neijiang	Neijiang
194	Phoenix	Phoenix
195	Yanjiang	Yanjiang
196	Zhaoqing	Zhaoqing
197	Xiaoxita	Xiaoxita
198	Guigang	Guigang
199	Xiamen	Xiamen
200	Chuzhou	Chuzhou
201	Fuzhou	Fuzhou
202	Zhuzhou	Zhuzhou
203	Amman	Amman
204	Jeddah	Jeddah
205	Loudi	Loudi
206	Deyang	Deyang
207	Qingyuan	Qingyuan
208	Wuhu	Wuhu
209	Hechi	Hechi
210	Seattle	Seattle
211	Binzhou	Binzhou
212	Yokohama	Yokohama
213	Liuzhou	Liuzhou
214	Baojishi	Baojishi
215	Guang’an	Guang'an
216	Hanzhong	Hanzhong
217	Kabul	Kabul
218	Zaozhuang	Zaozhuang
219	Berlin	Berlin
220	Anshan	Anshan
221	Lanzhou	Lanzhou
222	Chengde	Chengde
223	San Francisco	San Francisco
224	Puyang	Puyang
225	Suining	Suining
226	Jiaozuo	Jiaozuo
227	Bengbu	Bengbu
228	Montréal	Montreal
229	Detroit	Detroit
230	Baicheng	Baicheng
231	Busan	Busan
232	Algiers	Algiers
233	Qincheng	Qincheng
234	Taiyuan	Taiyuan
235	Shiyan	Shiyan
236	Lucknow	Lucknow
237	Chaoyang	Chaoyang
238	Hechi	Hechi
239	Leshan	Leshan
240	Yulinshi	Yulinshi
241	Siping	Siping
242	Zhongshan	Zhongshan
243	Changzhi	Changzhi
244	San Diego	San Diego
245	Faisalabad	Faisalabad
246	Santa Cruz	Santa Cruz
247	Qinhuangdao	Qinhuangdao
248	Bazhou	Bazhou
249	Zhenjiang	Zhenjiang
250	Ürümqi	Urumqi
251	Tongliao	Tongliao
252	Heyuan	Heyuan
253	Tongren	Tongren
254	Qinzhou	Qinzhou
255	Jaipur	Jaipur
256	Xinzhou	Xinzhou
257	Addis Ababa	Addis Ababa
258	Meishan	Meishan
259	Brasília	Brasilia
260	Mashhad	Mashhad
261	Jinzhou	Jinzhou
262	Tieling	Tieling
263	Shaoguan	Shaoguan
264	Kuwait City	Kuwait City
265	Shanwei	Shanwei
266	Minneapolis	Minneapolis
267	Kyiv	Kyiv
268	Sanaa	Sanaa
269	Quezon City	Quezon City
270	Dingxi	Dingxi
271	Incheon	Incheon
272	Bursa	Bursa
273	Ningde	Ningde
274	Tampa	Tampa
275	Daqing	Daqing
276	Birmingham	Birmingham
277	Putian	Putian
278	Huzhou	Huzhou
279	Salvador	Salvador
280	Wuzhou	Wuzhou
281	Xiangtan	Xiangtan
282	Denver	Denver
283	Rome	Rome
284	La Paz	La Paz
285	Pyongyang	Pyongyang
286	Kano	Kano
287	Taichung	Taichung
288	Omdurman	Omdurman
289	Zigong	Zigong
290	Mudanjiang	Mudanjiang
291	Huludao	Huludao
292	Kaohsiung	Kaohsiung
293	Guayaquil	Guayaquil
294	Rizhao	Rizhao
295	Manchester	Manchester
296	Cawnpore	Cawnpore
297	Baotou	Baotou
298	Taipei	Taipei
299	Nanping	Nanping
300	Chaozhou	Chaozhou
301	Longyan	Longyan
302	Ibadan	Ibadan
303	Hohhot	Hohhot
304	Antananarivo	Antananarivo
305	Longba	Longba
306	Weihai	Weihai
307	Chattogram	Chattogram
308	Santo Domingo	Santo Domingo
309	Xuanzhou	Xuanzhou
310	Sanming	Sanming
311	Brooklyn	Brooklyn
312	Yangjiang	Yangjiang
313	Medellín	Medellin
314	Yunfu	Yunfu
315	Brisbane	Brisbane
316	Baoshan	Baoshan
317	Dubai	Dubai
318	Luohe	Luohe
319	Qinbaling	Qinbaling
320	Mirzāpur	Mirzapur
321	Guangyuan	Guangyuan
322	Cali	Cali
323	Huangshi	Huangshi
324	Daegu	Daegu
325	Fortaleza	Fortaleza
326	Guatemala City	Guatemala City
327	Yaoundé	Yaounde
328	Douala	Douala
329	Jilin	Jilin
330	Lianshan	Lianshan
331	Lincang	Lincang
332	Antalya	Antalya
333	Tashkent	Tashkent
334	Bandung	Bandung
335	Nāgpur	Nagpur
336	Huainan	Huainan
337	Dandong	Dandong
338	Shangzhou	Shangzhou
339	Bekasi	Bekasi
340	Ghāziābād	Ghaziabad
341	Tijuana	Tijuana
342	Jiamusi	Jiamusi
343	Accra	Accra
344	Yuxi	Yuxi
345	Anshun	Anshun
346	Vancouver	Vancouver
347	Tangerang	Tangerang
348	Konya	Konya
349	Queens	Queens
350	Yingkou	Yingkou
351	Adana	Adana
352	Medan	Medan
353	Sanmenxia	Sanmenxia
354	Indore	Indore
355	Ma’anshan	Ma'anshan
356	Pingliang	Pingliang
357	Quzhou	Quzhou
358	Baku	Baku
359	Gaoping	Gaoping
360	Huaibei	Huaibei
361	Xining	Xining
362	Harare	Harare
363	Yan’an	Yan'an
364	Havana	Havana
365	Phnom Penh	Phnom Penh
366	Fukuoka	Fukuoka
367	Mogadishu	Mogadishu
368	Jincheng	Jincheng
369	Puning	Puning
370	Lishui	Lishui
371	Qingyang	Qingyang
372	Riverside	Riverside
373	Baltimore	Baltimore
374	Haiphong	Haiphong
375	Las Vegas	Las Vegas
376	Laibin	Laibin
377	Rawalpindi	Rawalpindi
378	Kumasi	Kumasi
379	Portland	Portland
380	Vadodara	Vadodara
381	Perth	Perth
382	San Antonio	San Antonio
383	Vishākhapatnam	Vishakhapatnam
384	Gujranwala	Gujranwala
385	Gaziantep	Gaziantep
386	Fushun	Fushun
387	St. Louis	St. Louis
388	Bamako	Bamako
389	Quito	Quito
390	Minsk	Minsk
391	Pingxiang	Pingxiang
392	Chongzuo	Chongzuo
393	Şanlıurfa	Sanliurfa
394	Kananga	Kananga
395	Peshawar	Peshawar
396	Sapporo	Sapporo
397	Hezhou	Hezhou
398	Jixi	Jixi
399	Caracas	Caracas
400	Fuxin	Fuxin
401	Aleppo	Aleppo
402	Almaty	Almaty
403	Dayr az Zawr	Dayr az Zawr
404	Vienna	Vienna
405	Leeds	Leeds
406	Sacramento	Sacramento
407	Blantyre	Blantyre
408	Tainan	Tainan
409	Zhuhai	Zhuhai
410	Bucharest	Bucharest
411	Wuwei	Wuwei
412	Bhopāl	Bhopal
413	Curitiba	Curitiba
414	Multan	Multan
415	Xiping	Xiping
416	Asunción	Asuncion
417	Saidu Sharif	Saidu Sharif
418	Hamburg	Hamburg
419	Meru	Meru
420	Brazzaville	Brazzaville
421	Orlando	Orlando
422	Mersin	Mersin
423	Kyōto	Kyoto
424	Manaus	Manaus
425	Liaoyang	Liaoyang
426	Baiyin	Baiyin
427	San Jose	San Jose
428	Warsaw	Warsaw
429	Shengli	Shengli
430	Lubumbashi	Lubumbashi
431	Haikou	Haikou
432	Damascus	Damascus
433	Shuyangzha	Shuyangzha
434	Brussels	Brussels
435	Eşfahān	Esfahan
436	Budapest	Budapest
437	Heihe	Heihe
438	Lusaka	Lusaka
439	Hyderabad City	Hyderabad City
440	Diyarbakır	Diyarbakir
441	Chinchvad	Chinchvad
442	Shuozhou	Shuozhou
443	Cleveland	Cleveland
444	Pittsburgh	Pittsburgh
445	Patna	Patna
446	Mosul	Mosul
447	Austin	Austin
448	Sanzhou	Sanzhou
449	Mecca	Mecca
450	Conakry	Conakry
451	Kampala	Kampala
452	Ecatepec	Ecatepec
453	Cincinnati	Cincinnati
454	Makassar	Makassar
455	Yushan	Yushan
456	Ludhiāna	Ludhiana
457	Newcastle	Newcastle
458	Depok	Depok
459	Zhongli	Zhongli
460	Kansas City	Kansas City
461	Ouagadougou	Ouagadougou
462	Davao	Davao
463	Manhattan	Manhattan
464	Semarang	Semarang
465	Yinchuan	Yinchuan
466	Caloocan City	Caloocan City
467	Novosibirsk	Novosibirsk
468	Chengtangcun	Chengtangcun
469	Āgra	Agra
470	Karaj	Karaj
471	Indianapolis	Indianapolis
472	Jingdezhen	Jingdezhen
473	Puebla	Puebla
474	Kalyān	Kalyan
475	Madurai	Madurai
476	Benxi	Benxi
477	Jamshedpur	Jamshedpur
478	Recife	Recife
479	Columbus	Columbus
480	Tabrīz	Tabriz
481	Maracaibo	Maracaibo
482	Zhangjiajie	Zhangjiajie
483	Beihai	Beihai
484	Shuangyashan	Shuangyashan
485	Kōbe	Kobe
486	Charlotte	Charlotte
487	Yucheng	Yucheng
488	Changshu	Changshu
489	Lianjiang	Lianjiang
490	Ximeicun	Ximeicun
491	Jianguang	Jianguang
492	Madīnat as Sādis min Uktūbar	Madinat as Sadis min Uktubar
493	Xushan	Xushan
494	Belém	Belem
495	Guiping	Guiping
496	Leizhou	Leizhou
497	Gwangju	Gwangju
498	Nāsik	Nasik
499	Porto Alegre	Porto Alegre
500	Valencia	Valencia
501	Onitsha	Onitsha
502	Virginia Beach	Virginia Beach
503	Daejeon	Daejeon
504	Munich	Munich
505	Auckland	Auckland
506	Yekaterinburg	Yekaterinburg
507	Huangshan	Huangshan
508	Huazhou	Huazhou
509	Shīrāz	Shiraz
510	Pizhou	Pizhou
511	Palembang	Palembang
512	León de los Aldama	Leon de los Aldama
513	El Kelaa des Srarhna	El Kelaa des Srarhna
514	Kharkiv	Kharkiv
515	Kawanakajima	Kawanakajima
516	Yangshe	Yangshe
517	Chizhou	Chizhou
518	Guyuan	Guyuan
519	Rui’an	Rui'an
520	Birstall	Birstall
521	Muscat	Muscat
522	Hebi	Hebi
523	Bronx	Bronx
524	Gaozhou	Gaozhou
525	The Hague	The Hague
526	Owerri	Owerri
527	Sharjah	Sharjah
528	Farīdābād	Faridabad
529	Ulaanbaatar	Ulaanbaatar
530	Goiânia	Goiania
531	Kayseri	Kayseri
532	Yueqing	Yueqing
533	Belgrade	Belgrade
534	Pingdu	Pingdu
535	Milan	Milan
536	Aurangābād	Aurangabad
537	Yutan	Yutan
538	Wenling	Wenling
539	Milwaukee	Milwaukee
540	Sofia	Sofia
541	Adelaide	Adelaide
542	Prague	Prague
543	Samsun	Samsun
544	Rājkot	Rajkot
545	Liangshi	Liangshi
546	Khulna	Khulna
547	Córdoba	Cordoba
548	Guarulhos	Guarulhos
549	Juárez	Juarez
550	Saitama	Saitama
551	Montevideo	Montevideo
552	Mbuji-Mayi	Mbuji-Mayi
553	Fuqing	Fuqing
554	Xintai	Xintai
555	Doha	Doha
556	Hiroshima	Hiroshima
557	Meerut	Meerut
558	Yushu	Yushu
559	Rongcheng	Rongcheng
560	Huazhou	Huazhou
561	Yangquan	Yangquan
562	Haicheng	Haicheng
563	Yingtan	Yingtan
564	Huaiyin	Huaiyin
565	Wuzhong	Wuzhong
566	Barranquilla	Barranquilla
567	Jabalpur	Jabalpur
568	Thāne	Thane
569	Zhangye	Zhangye
570	Rucheng	Rucheng
571	Nizhniy Novgorod	Nizhniy Novgorod
572	Comayagüela	Comayaguela
573	Shaoyang	Shaoyang
574	Dhanbād	Dhanbad
575	Yichun	Yichun
576	Laiwu	Laiwu
577	Jingling	Jingling
578	Kazan	Kazan
579	Dayan	Dayan
580	Suwon	Suwon
581	Jiangyin	Jiangyin
582	Yongcheng	Yongcheng
583	Calgary	Calgary
584	Cần Thơ	Can Tho
585	Abuja	Abuja
586	Yiwu	Yiwu
587	Mandalay	Mandalay
588	Beidao	Beidao
589	Al Başrah	Al Basrah
590	Shuangshui	Shuangshui
591	Vila Velha	Vila Velha
592	Allahābād	Allahabad
593	Vārānasi	Varanasi
594	Chelyabinsk	Chelyabinsk
595	Mombasa	Mombasa
596	Providence	Providence
597	Qom	Qom
598	Maiduguri	Maiduguri
599	Maputo	Maputo
600	Rosario	Rosario
601	Benin City	Benin City
602	Xinyu	Xinyu
603	Pikine	Pikine
604	Ahvāz	Ahvaz
605	Dublin	Dublin
606	Jacksonville	Jacksonville
607	Medina	Medina
608	Srīnagar	Srinagar
609	Omsk	Omsk
610	Cilacap	Cilacap
611	Bandar Lampung	Bandar Lampung
612	Samara	Samara
613	Guankou	Guankou
614	Ulsan	Ulsan
615	Dingzhou	Dingzhou
616	Campinas	Campinas
617	Lianyuan	Lianyuan
618	Rongcheng	Rongcheng
619	Kaiyuan	Kaiyuan
620	Nay Pyi Taw	Nay Pyi Taw
621	Dakar	Dakar
622	Zhuji	Zhuji
623	Kigali	Kigali
624	Zapopan	Zapopan
625	Leiyang	Leiyang
626	Santiago	Santiago
627	Dadukou	Dadukou
628	Xiantao	Xiantao
629	Amritsar	Amritsar
630	Callao	Callao
631	Alīgarh	Aligarh
632	Yingchuan	Yingchuan
633	Tegucigalpa	Tegucigalpa
634	Ciudad Nezahualcóyotl	Ciudad Nezahualcoyotl
635	Tripoli	Tripoli
636	Rostov	Rostov
637	Nezahualcóyotl	Nezahualcoyotl
638	Bhiwandi	Bhiwandi
639	Zhoushan	Zhoushan
640	Tbilisi	Tbilisi
641	Ufa	Ufa
642	Fès	Fes
643	Sevilla	Sevilla
644	Mexicali	Mexicali
645	Biên Hòa	Bien Hoa
646	Gwalior	Gwalior
647	Ankang	Ankang
648	Ikare	Ikare
649	Huambo	Huambo
650	Hegang	Hegang
651	Salt Lake City	Salt Lake City
652	Bhilai	Bhilai
653	Yuyao	Yuyao
654	N’Djamena	N'Djamena
655	Hanchuan	Hanchuan
656	Gongzhuling	Gongzhuling
657	Irbid	Irbid
658	Hāora	Haora
659	Cologne	Cologne
660	Krasnoyarsk	Krasnoyarsk
661	Yicheng	Yicheng
662	São Gonçalo	Sao Goncalo
663	Nashville	Nashville
664	Yerevan	Yerevan
665	Rānchi	Ranchi
666	Nur-Sultan	Nur-Sultan
667	Nouakchott	Nouakchott
668	Vereeniging	Vereeniging
669	Richmond	Richmond
670	São Luís	Sao Luis
671	San Pedro Sula	San Pedro Sula
672	Taixing	Taixing
673	Memphis	Memphis
674	Goyang	Goyang
675	Bezwāda	Bezwada
676	Edmonton	Edmonton
677	Mizhou	Mizhou
678	Tunis	Tunis
679	Xishan	Xishan
680	Ezhou	Ezhou
681	Barquisimeto	Barquisimeto
682	Sendai	Sendai
683	Voronezh	Voronezh
684	Perm	Perm
685	Changwon	Changwon
686	Zhongwei	Zhongwei
687	Shouguang	Shouguang
688	Bogor	Bogor
689	Raleigh	Raleigh
690	Cartagena	Cartagena
691	Chandīgarh	Chandigarh
692	Bishkek	Bishkek
693	Matola	Matola
694	Ogbomoso	Ogbomoso
695	Ashgabat	Ashgabat
696	Maceió	Maceio
697	Niamey	Niamey
698	Managua	Managua
699	Patam	Patam
700	Tekirdağ	Tekirdag
701	Shubrā al Khaymah	Shubra al Khaymah
702	Linhai	Linhai
703	Monrovia	Monrovia
704	Wafangdian	Wafangdian
705	Zhongxiang	Zhongxiang
706	Odesa	Odesa
707	Shymkent	Shymkent
708	New Orleans	New Orleans
709	Thủ Đức	Thu Duc
710	Volgograd	Volgograd
711	Port-au-Prince	Port-au-Prince
712	Islamabad	Islamabad
713	Mysore	Mysore
714	Xinyi	Xinyi
715	Kathmandu	Kathmandu
716	Raipur	Raipur
717	Nice	Nice
718	Arequipa	Arequipa
719	Port Harcourt	Port Harcourt
720	Louisville	Louisville
721	Zaoyang	Zaoyang
722	Shuizhai	Shuizhai
723	Dnipro	Dnipro
724	Kota	Kota
725	Quetta	Quetta
726	Abu Dhabi	Abu Dhabi
727	Stockholm	Stockholm
728	Ottawa	Ottawa
729	Asmara	Asmara
730	Freetown	Freetown
731	Jerusalem	Jerusalem
732	Bangui	Bangui
733	Panama City	Panama City
734	Amsterdam	Amsterdam
735	Lomé	Lome
736	Libreville	Libreville
737	Zagreb	Zagreb
738	Dushanbe	Dushanbe
739	Lilongwe	Lilongwe
740	Cotonou	Cotonou
741	Vientiane	Vientiane
742	Colombo	Colombo
743	Pretoria	Pretoria
744	Winnipeg	Winnipeg
745	Quebec City	Quebec City
746	Oslo	Oslo
747	Athens	Athens
748	Bujumbura	Bujumbura
749	Helsinki	Helsinki
750	Skopje	Skopje
751	Chisinau	Chisinau
752	Riga	Riga
753	Copenhagen	Copenhagen
754	Kingston	Kingston
755	Rabat	Rabat
756	Vilnius	Vilnius
757	San Salvador	San Salvador
758	Djibouti	Djibouti
759	Lisbon	Lisbon
760	Kitchener	Kitchener
761	Tallinn	Tallinn
762	Cape Town	Cape Town
763	Bratislava	Bratislava
764	Tirana	Tirana
765	Canberra	Canberra
766	Wellington	Wellington
767	Beirut	Beirut
768	Dodoma	Dodoma
769	Halifax	Halifax
770	Bissau	Bissau
771	Juba	Juba
772	Port Moresby	Port Moresby
773	Yamoussoukro	Yamoussoukro
774	Victoria	Victoria
775	Maseru	Maseru
776	Nicosia	Nicosia
777	Windhoek	Windhoek
778	Porto-Novo	Porto-Novo
779	Sucre	Sucre
780	San José	San Jose
781	Ljubljana	Ljubljana
782	Sarajevo	Sarajevo
783	Nassau	Nassau
784	Bloemfontein	Bloemfontein
785	Fort-de-France	Fort-de-France
786	Gaborone	Gaborone
787	Paramaribo	Paramaribo
788	Dili	Dili
789	Pristina	Pristina
790	Georgetown	Georgetown
791	Malabo	Malabo
792	Gibraltar	Gibraltar
793	Saint-Denis	Saint-Denis
794	Male	Male
795	Podgorica	Podgorica
796	Manama	Manama
797	Port Louis	Port Louis
798	Willemstad	Willemstad
799	New Delhi	New Delhi
800	Bern	Bern
801	Papeete	Papeete
802	Reykjavík	Reykjavik
803	Praia	Praia
804	Luxembourg	Luxembourg
805	Sri Jayewardenepura Kotte	Sri Jayewardenepura Kotte
806	Bridgetown	Bridgetown
807	Moroni	Moroni
808	Thimphu	Thimphu
809	Mbabane	Mbabane
810	Nouméa	Noumea
811	Honiara	Honiara
812	Suva	Suva
813	Castries	Castries
814	Cayenne	Cayenne
815	São Tomé	Sao Tome
816	Port-Vila	Port-Vila
817	Hamilton	Hamilton
818	Bandar Seri Begawan	Bandar Seri Begawan
819	Monaco	Monaco
820	Gitega	Gitega
821	Port of Spain	Port of Spain
822	Apia	Apia
823	Douglas	Douglas
824	Oranjestad	Oranjestad
825	Saint Helier	Saint Helier
826	Vaduz	Vaduz
827	Banjul	Banjul
828	Mamoudzou	Mamoudzou
829	Majuro	Majuro
830	Tarawa	Tarawa
831	George Town	George Town
832	Victoria	Victoria
833	Kingstown	Kingstown
834	Saint John’s	Saint John's
835	Nuku‘alofa	Nuku`alofa
836	Andorra la Vella	Andorra la Vella
837	Nuuk	Nuuk
838	Belmopan	Belmopan
839	Roseau	Roseau
840	Basseterre	Basseterre
841	Tórshavn	Torshavn
842	Pago Pago	Pago Pago
843	Valletta	Valletta
844	Gaza	Gaza
845	Grand Turk	Grand Turk
846	Palikir	Palikir
847	Funafuti	Funafuti
848	Lobamba	Lobamba
849	Avarua	Avarua
850	Saint George’s	Saint George's
851	San Marino	San Marino
852	Al Quds	Al Quds
853	Capitol Hill	Capitol Hill
854	Basse-Terre	Basse-Terre
855	Stanley	Stanley
856	Vatican City	Vatican City
857	Alofi	Alofi
858	Hagåtña	Hagta
859	Jamestown	Jamestown
860	Marigot	Marigot
861	Philipsburg	Philipsburg
862	Road Town	Road Town
863	Gustavia	Gustavia
864	Saint-Pierre	Saint-Pierre
865	The Valley	The Valley
866	Mata-Utu	Mata-Utu
867	Kingston	Kingston
868	Ngerulmud	Ngerulmud
869	Tifariti	Tifariti
870	Tifariti	Tifariti
871	Longyearbyen	Longyearbyen
872	Adamstown	Adamstown
873	Flying Fish Cove	Flying Fish Cove
874	Bareilly	Bareilly
875	Quảng Hà	Quang Ha
876	Soacha	Soacha
877	Kitaku	Kitaku
878	Jodhpur	Jodhpur
879	Xingcheng	Xingcheng
880	Dongtai	Dongtai
881	Yingcheng	Yingcheng
882	Al Manşūrah	Al Mansurah
883	Glasgow	Glasgow
884	Chiba	Chiba
885	Luocheng	Luocheng
886	Danyang	Danyang
887	Natal	Natal
888	Zhaodong	Zhaodong
889	Nada	Nada
890	Xibeijie	Xibeijie
891	Kirkuk	Kirkuk
892	Naples	Naples
893	Wuchuan	Wuchuan
894	Huilong	Huilong
895	Oklahoma City	Oklahoma City
896	Toulouse	Toulouse
897	Málaga	Malaga
898	Denizli	Denizli
899	Dispur	Dispur
900	Coimbatore	Coimbatore
901	Guwāhāti	Guwahati
902	Sŏngnam	Songnam
903	Taishan	Taishan
904	Solāpur	Solapur
905	Tangier	Tangier
906	Anqiu	Anqiu
907	Feicheng	Feicheng
908	Meishan	Meishan
909	Kisangani	Kisangani
910	Khartoum North	Khartoum North
911	Aguascalientes	Aguascalientes
912	Marrakech	Marrakech
913	Donetsk	Donetsk
914	Taihecun	Taihecun
915	Trujillo	Trujillo
916	Cebu City	Cebu City
917	Taihe	Taihe
918	Bridgeport	Bridgeport
919	Antwerp	Antwerp
920	Trichinopoly	Trichinopoly
921	Xin’an	Xin'an
922	Padang	Padang
923	Qingzhou	Qingzhou
924	Buffalo	Buffalo
925	Lichuan	Lichuan
926	Daye	Daye
927	Fort Worth	Fort Worth
928	Hengzhou	Hengzhou
929	Campo Grande	Campo Grande
930	Zhuanghe	Zhuanghe
931	Hartford	Hartford
932	Ad Dammām	Ad Dammam
933	Bucheon	Bucheon
934	Lhasa	Lhasa
935	Homs	Homs
936	Jiaozhou	Jiaozhou
937	Mérida	Merida
938	Yangchun	Yangchun
939	Concepción	Concepcion
940	Dengtalu	Dengtalu
941	Hubli	Hubli
942	Abeokuta	Abeokuta
943	Tucson	Tucson
944	Krasnodar	Krasnodar
945	Natal	Natal
946	Chihuahua	Chihuahua
947	Klang	Klang
948	Turin	Turin
949	Jos	Jos
950	Laiyang	Laiyang
951	Jalandhar	Jalandhar
952	Sale	Sale
953	Marseille	Marseille
954	Kaifeng Chengguanzhen	Kaifeng Chengguanzhen
955	Eskişehir	Eskisehir
956	Gaomi	Gaomi
957	Teresina	Teresina
958	Ipoh	Ipoh
959	Hai’an	Hai'an
960	Liverpool	Liverpool
961	Zamboanga City	Zamboanga City
962	Oran	Oran
963	Southampton	Southampton
964	Weichanglu	Weichanglu
965	Pekanbaru	Pekanbaru
966	Portsmouth	Portsmouth
967	Leping	Leping
968	Kermānshāh	Kermanshah
969	Hailun	Hailun
970	Macheng	Macheng
971	Ilorin	Ilorin
972	Omaha	Omaha
973	Yuci	Yuci
974	Saratov	Saratov
975	São Bernardo do Campo	Sao Bernardo do Campo
976	Erbil	Erbil
977	Iguaçu	Iguacu
978	El Paso	El Paso
979	Denpasar	Denpasar
980	Dehui	Dehui
981	Naucalpan de Juárez	Naucalpan de Juarez
982	Bhubaneshwar	Bhubaneshwar
983	Tongchuan	Tongchuan
984	Cheongju	Cheongju
985	Warri	Warri
986	Pointe-Noire	Pointe-Noire
987	Rongjiawan	Rongjiawan
988	Butterworth	Butterworth
989	Bhayandar	Bhayandar
